shepherd,berger,راعي,من يرعى المواشي و يحرسها
dancer,danseur,راقص,من يحترف الرقص
exorcist,exorciste,راقي,َمن يحترف الرقية، وهي معالجة المرض بالأدعية والقراءة.
businessman,entrepreneur,رجل اعمال,َمن يُنشئ مشاريع إنتاجية ربحية.
detective,détective,متحري,رجل مكلف بجمع معلومات وأدلة حول واقعة ما.
sketcher,dessinateur,رسّام,َمن يرسم بالقلم أشكالاً أو خطوطاً هندسية.
painter,peintre,دهّان,فنان يرسم اللوحات الزيتية والمائية وغيرها مستخدمًا الألوان.
caricaturist,caricaturiste, رسّام ساخر,َمن يرسم صورًا ساخرة ناقدة.
mender,repriseur,رفّاء,"من حرفته لأعمال الخَرْق وإصلاحها في الثوب ونحوه، وهو ""الرتّا""."
rolling mill operator,lamineur,رقّاق,َمن يعمل في ترقيق المعادن لتحويلها إلى صفائح.
tripe butcher,tripier,روّاس,َمن يبيع رؤوس الذبائح والأكارع والحوايا ونحوها نيئة أو مطهوةً.
scavenger,eboueur - boueux,زبّال,َمن يجمع القمامة من الطرقات والبيوت.
